symbol,updated,updated_time
DRREDDY,True,2019-10-11 14:45
EICHERMOT,True,2019-10-11 14:45
DLF,True,2019-10-11 14:45
ENGINERSIN,True,2019-09-26 14:55
EQUITAS,True,2019-10-11 14:45
ESCORTS,True,2019-10-11 14:45
EXIDEIND,True,2019-10-11 14:45
FEDERALBNK,True,2019-10-11 14:45
GAIL,True,2019-10-11 14:45
GLENMARK,True,2019-10-11 14:45
GRASIM,True,2019-10-11 14:45
HAVELLS,True,2019-10-11 14:45
GMRINFRA,True,2019-10-11 14:45
GODREJCP,True,2019-10-11 14:45
HCLTECH,True,2019-10-11 14:45
HDFC,True,2019-10-11 14:45
HDFCBANK,True,2019-10-11 14:45
HEROMOTOCO,True,2019-10-11 14:45
HEXAWARE,True,2019-10-11 14:45
HINDZINC,True,2019-09-26 14:55
HINDALCO,True,2019-10-11 14:45
HINDUNILVR,True,2019-10-11 14:45
IBULHSGFIN,True,2019-10-11 14:45
HINDPETRO,True,2019-10-11 14:45
ICICIBANK,True,2019-10-11 14:45
ICICIPRULI,True,2019-10-11 14:45
IDEA,True,2019-10-11 14:45
INDIGO,True,2019-10-11 14:45
IDBI,True,2019-09-26 14:55
INFY,True,2019-10-11 14:45
INFRATEL,True,2019-10-11 14:45
IOC,True,2019-10-11 14:45
IGL,True,2019-10-11 14:45
IDFCFIRSTB,True,2019-10-11 14:45
INDUSINDBK,True,2019-10-11 14:45
JUSTDIAL,True,2019-10-11 14:45
JUBLFOOD,True,2019-10-11 14:45
KAJARIACER,True,2019-09-26 14:55
LICHSGFIN,True,2019-10-11 14:45
JSWSTEEL,True,2019-10-11 14:45
KOTAKBANK,True,2019-10-11 14:45
JINDALSTEL,True,2019-10-11 14:45
L&TFH,True,2019-10-11 14:45
ITC,True,2019-10-11 14:45
LT,True,2019-10-11 14:45
MARICO,True,2019-10-11 14:45
MFSL,True,2019-10-11 14:45
LUPIN,True,2019-10-11 14:45
MARUTI,True,2019-10-11 14:45
MANAPPURAM,True,2019-10-11 14:45
MINDTREE,True,2019-10-11 14:45
MGL,True,2019-10-11 14:45
MCDOWELL-N,True,2019-10-11 14:45
